,index,coordinates,codeInsee,nom,adresse_ligne01,adresse_ligne02,adresse_ligne03,adresse_code_postal,adresse_commune,adresse_coordonnees,telephone,e_mail,url,zonage_commune
985,permanence_juridique-83123-01,"[5.797872, 43.118659]",83123,Point-justice - relais d'accès au droit  Centre communal d'action sociale de Sanary-sur-Mer,281 avenue du Maréchal Leclerc,,,83110,SANARY SUR MER,"[5.797872, 43.118659]",04 94 88 50 70,,,['83123 Sanary-sur-Mer']
986,permanence_juridique-83086-01,"[6.566407, 43.473786]",83086,Point-justice - France services,2 rue Joachim Ollivier,,,83490,LE MUY,"[6.566407, 43.473786]",04 94 43 50 00,,,['83086 Le Muy']
987,permanence_juridique-83009-01,"[5.752577, 43.134452]",83009,Point-justice - relais d'accès au droit de Bandol,20 allée Vivien,,,83150,BANDOL,"[5.752577, 43.134452]",04 94 07 83 13,,,['83009 Bandol']
988,permanence_juridique-83112-01,"[5.710422, 43.181832]",83112,Point-justice - relais d'accès au droit  Centre communal d'action sociale de Saint-Cyr-sur-Mer,5 avenue Aristide Briand,,,83270,ST CYR SUR MER,"[5.710422, 43.181832]",04 94 32 01 79,,,['83112 Saint-Cyr-sur-Mer']
989,permanence_juridique-83071-01,"[6.2354, 43.138389]",83071,Point-justice - relais d'accès au droit La Londe-les-Maures,place du 11 novembre,,,83250,LA LONDE LES MAURES,"[6.2354, 43.138389]",04 94 01 55 00,,,['83071 La Londe-les-Maures']
990,permanence_juridique-83050-01,"[6.464471, 43.533873]",83050,Point-justice - Point d'accès au droit de la Dracénie de Draguignan,"Halte Gare Routière, avenue Louis Blanc",,,83300,DRAGUIGNAN,"[6.464471, 43.533873]",04 98 10 29 20,,,['83050 Draguignan']
991,permanence_juridique-83119-01,"[6.64095, 43.269258]",83119,Point-justice - relais d'accès au droit  Centre communal d'action sociale de Saint-Tropez,1 rue Augustin Grangeon,,,83990,ST TROPEZ,"[6.64095, 43.269258]",04 94 97 81 57,,,['83119 Saint-Tropez']
992,permanence_juridique-83033-01,"[6.189499, 43.30292]",83033,Point-justice - relais d'accès au droit de Carnoules,27 cours Victor Hugo,,,83660,CARNOULES,"[6.189499, 43.30292]",04 94 13 80 00,,,['83033 Carnoules']
993,permanence_juridique-83031-01,"[6.341119, 43.389938]",83031,Point-justice - relais d'accès au droit  Centre communal d'action sociale Le Cannet-des-Maures,"Maison de la Fraternité, 10 rue du Lavoir",,,83340,LE CANNET DES MAURES,"[6.341119, 43.389938]",04 94 50 08 21,,,['83031 Le Cannet-des-Maures']
994,permanence_juridique-83131-01,"[6.026143, 43.206303]",83131,Point-justice - relais d'accès au droit de Solliès Toucas,place Clément Balestra,,,83210,SOLLIES TOUCAS,"[6.026143, 43.206303]",04 94 28 90 47,,,['83131 Solliès-Toucas']
995,permanence_juridique-83153-01,"[5.929375, 43.077454]",83153,Point-justice - relais d'accès au droit de Saint-Mandrier-sur-Mer,place des Résistants,,,83430,ST MANDRIER SUR MER,"[5.929375, 43.077454]",04 94 11 51 60,,,['83153 Saint-Mandrier-sur-Mer']
996,permanence_juridique-83090-01,"[5.848538, 43.13843]",83090,Point-justice - relais d'accès au droit d'Ollioules,2 place Marius Trotobas-Espace Puget,,,83190,OLLIOULES,"[5.848538, 43.13843]",04 94 63 01 13,,,['83090 Ollioules']
997,permanence_juridique-83016-01,"[5.808483, 43.195986]",83016,Point-justice - relais d'accès au droit du Beausset,place Jean Jaurès,,,83330,BEAUSSET,"[5.808483, 43.195986]",04 94 98 55 75,,,['83016 Le Beausset']
998,permanence_juridique-83118-01,"[6.773386, 43.433391]",83118,Point-justice - relais d'accès au droit  Maison des droits de Saint Raphaël,287 avenue de Valescure,,,83700,ST RAPHAEL,"[6.773386, 43.433391]",04 94 40 40 20,,,['83118 Saint-Raphaël']
999,permanence_juridique-83061-01,"[6.728121, 43.429511]",83061,Point-justice - Point d'accès au droit de Fréjus,"Centre d'animation de Villeneuve, 63 rue de l'Argentière",,,83600,FREJUS,"[6.728121, 43.429511]",04 94 51 76 42,,,['83061 Fréjus']
1000,permanence_juridique-83009-02,"[5.760867, 43.137384]",83009,Point-justice - France services,place Lucien Artaud,,,83150,BANDOL,"[5.760867, 43.137384]",04 94 07 83 13,,,['83009 Bandol']
1001,permanence_juridique-83055-01,"[6.692514, 43.622961]",83055,Point-justice - France services,"159, rue de la Comtesse de Villeneuve",,,83440,FAYENCE,"[6.692514, 43.622961]",04 94 39 09 10,,,['83055 Fayence']
1002,permanence_juridique-83049-01,"[6.069883, 43.236059]",83049,Point-justice - relais d'accès au droit  Centre communal d'action sociale de Cuers,place Joseph Pasteur,,,83390,CUERS,"[6.069883, 43.236059]",04 94 33 11 00,,,['83049 Cuers']
1003,permanence_juridique-83084-01,"[6.06366, 43.647512]",83084,Point-justice - relais d'accès au droit de Montmeyan,avenue Verdon,,,83670,MONTMEYAN,"[6.06366, 43.647512]",04 94 69 60 80,,,['83084 Montmeyan']
1004,permanence_juridique-83137-04,"[5.913571, 43.133944]",83137,Point-justice - relais d'accès au droit du Revest,place Jean Jaurès,,,83200,LE REVEST,"[5.913571, 43.133944]",04 94 98 19 90,,,['83137 Toulon']
1005,permanence_juridique-83061-02,"[6.735968, 43.433578]",83061,Point-justice - relais d'accès au droit de la chambre de proximité de Fréjus,"Palais de Justice, 268 rue Jean Jaurès",,,83600,FREJUS CEDEX,"[6.735968, 43.433578]",04 94 60 44 33,,,['83061 Fréjus']
